OTU_ID	Cef2dayrec21	Cef2dayrec22	Cef2dayrec23	Cef2dayrec25	Cef2dayrec26	Cef2dayrec28	Cef6wkrec13	Cef6wkrec14	Cef6wkrec15	Cef6wkrec16	Cef6wkrec17	Cef6wkrec18	Cef6wkrec19	Cef6wkrec20	NoAbx29	NoAbx31	NoAbx32	NoAbx33	NoAbx34	NoAbx35	NoAbx36	NoAbx6wkrec37	NoAbx6wkrec38	NoAbx6wkrec39	NoAbx6wkrec40	NoAbx6wkrec41	NoAbx6wkrec42	NoAbx6wkrec43	NoAbx6wkrec44
1113282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
175193	0	0	0	0	0	0	0	0	1	2	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
272953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
214835	0	0	0	0	0	0	0	0	4	5	0	0	0	0	1	0	1	1	0	1	0	2	0	1	1	0	1	0	0
310877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
168383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0
4480555	0	0	0	0	0	0	1	1	2	2	1	0	0	0	2	3	2	0	0	1	0	1	0	1	0	1	1	2	0
311788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0
183053	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1
730939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
4407190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0
178959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	2	1	1	1	0
266223	0	0	0	0	0	0	2	2	2	0	2	2	7	4	0	1	0	1	1	2	0	0	1	0	0	1	0	2	0
272004	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	5	0	0	1	1	1	5	1	0	0	2	0	2	0
270758	0	0	0	0	0	0	4	10	1	6	4	2	4	2	3	0	1	0	2	5	0	1	0	0	3	0	0	6	1
